+--------------------+-------+
|     Ingredient     | Count |
|    frenchfried     |   88  |
|       carton       |   86  |
|     pistachio      |   86  |
|     gorgonzola     |   85  |
|       wedge        |   85  |
|     campbells      |   85  |
|        okra        |   85  |
|    oldfashioned    |   85  |
|       drink        |   85  |
|        wide        |   84  |
|      jiggers       |   84  |
|     vegetarian     |   84  |
|      baguette      |   84  |
|     grapefruit     |   84  |
|      saffron       |   83  |
|     scallions      |   83  |
|      unpeeled      |   83  |
|        rib         |   82  |
|     sprinkles      |   82  |
|      caramels      |   82  |
|      gruyere       |   81  |
|        gin         |   81  |
|     tortellini     |   80  |
|        base        |   80  |
|      berries       |   80  |
|     breakfast      |   79  |
|     grenadine      |   79  |
|     tomatillos     |   78  |
|      quarters      |   78  |
|      currants      |   78  |
|        dogs        |   78  |
|      islands       |   78  |
|      lukewarm      |   78  |
|        bar         |   78  |
|    tenderloins     |   77  |
|      halibut       |   77  |
+--------------------+-------+
